Region,Date(NZST),Time(NZST),Tair(C),Twet(C),RH(%),Tdew(C),
Canterbury,"2016,Jan,01","08,00",19.0,15.3,66.0,12.5,
Canterbury,"2016,Jan,01","08,00",18.4,13.2,52.0,8.4,
Canterbury,"2016,Jan,01","08,00",12.0,7.2,45.1,0.5,
Canterbury,"2016,Jan,01","08,00",16.8,11.0,44.0,4.5,
Canterbury,"2016,Jan,01","08,00",11.2,2.9,12.0,-23.1,
Canterbury,"2016,Jan,01","08,00",10.9,2.9,13.0,-21.8,
Canterbury,"2016,Jan,01","08,00",16.0,12.0,59.6,8.1,
Canterbury,"2016,Jan,01","08,00",16.9,14.6,77.0,12.9,
Canterbury,"2016,Jan,01","08,00",16.8,15.6,87.6,14.7,
Canterbury,"2016,Jan,01","08,00",15.6,14.1,84.0,12.9,
Canterbury,"2016,Jan,01","08,00",12.6,12.5,98.8,12.4,
Canterbury,"2016,Jan,01","08,00",14.3,11.7,71.0,9.1,
Canterbury,"2016,Jan,01","08,00",15.8,13.9,80.0,12.4,
Canterbury,"2016,Jan,01","08,00",10.3,4.7,36.0,-5.5,
Canterbury,"2016,Jan,01","08,00",15.0,13.6,85.0,12.5,
Canterbury,"2016,Jan,02","08,00",17.4,16.4,90.0,15.7,
Canterbury,"2016,Jan,02","08,00",15.6,11.9,62.0,8.4,
Canterbury,"2016,Jan,02","08,00",16.0,11.4,53.9,6.7,
Canterbury,"2016,Jan,02","08,00",15.5,11.9,63.0,8.5,
Canterbury,"2016,Jan,02","08,00",6.9,4.5,67.0,0.8,
Canterbury,"2016,Jan,02","08,00",8.8,6.1,66.0,2.4,
Canterbury,"2016,Jan,02","08,00",15.5,11.5,58.9,7.5,
Canterbury,"2016,Jan,02","08,00",14.6,13.2,84.0,11.9,
Canterbury,"2016,Jan,02","08,00",17.4,16.4,89.8,15.7,
Canterbury,"2016,Jan,02","08,00",14.8,14.2,93.3,13.7,
Canterbury,"2016,Jan,02","08,00",14.2,13.7,94.3,13.3,
Canterbury,"2016,Jan,02","08,00",14.3,10.9,63.0,7.4,
Canterbury,"2016,Jan,02","08,00",14.9,13.6,86.0,12.6,
Canterbury,"2016,Jan,02","08,00",8.9,6.8,73.0,4.0,
Canterbury,"2016,Jan,02","08,00",15.5,14.1,85.0,13.0,
Canterbury,"2016,Jan,03","08,00",16.2,16.0,98.0,15.9,
Canterbury,"2016,Jan,03","08,00",14.7,12.2,73.0,9.9,
Canterbury,"2016,Jan,03","08,00",13.1,11.7,83.8,10.4,
Canterbury,"2016,Jan,03","08,00",13.0,11.7,85.0,10.6,
Canterbury,"2016,Jan,03","08,00",5.2,5.1,98.0,4.9,
