agent_number,statistic,season,year,prop_missing,temperature,period_start,period_end,lat,lon,site,anomaly,reference_period
1056,Average,Autumn,2019,0,16.8,2019-03-01,2019-05-31,-35.183,173.926,Kerikeri,NA,1961-1990
1056,Average,Spring,2019,0,14.933333333333300,2019-09-01,2019-11-30,-35.183,173.926,Kerikeri,NA,1961-1990
1056,Average,Summer,2019,0,20.100000000000000,2018-12-01,2019-02-28,-35.183,173.926,Kerikeri,NA,1961-1990
1056,Average,Winter,2019,0,12.366666666666700,2019-06-01,2019-08-31,-35.183,173.926,Kerikeri,NA,1961-1990
1056,Maximum,Autumn,2019,0,22.03333333333330,2019-03-01,2019-05-31,-35.183,173.926,Kerikeri,NA,1961-1990
1056,Maximum,Spring,2019,0,20.2,2019-09-01,2019-11-30,-35.183,173.926,Kerikeri,NA,1961-1990
1056,Maximum,Summer,2019,0,25.53333333333330,2018-12-01,2019-02-28,-35.183,173.926,Kerikeri,NA,1961-1990
1056,Maximum,Winter,2019,0,17.166666666666700,2019-06-01,2019-08-31,-35.183,173.926,Kerikeri,NA,1961-1990
1056,Minimum,Autumn,2019,0,11.5,2019-03-01,2019-05-31,-35.183,173.926,Kerikeri,NA,1961-1990
1056,Minimum,Spring,2019,0,9.666666666666670,2019-09-01,2019-11-30,-35.183,173.926,Kerikeri,NA,1961-1990
1056,Minimum,Summer,2019,0,14.666666666666700,2018-12-01,2019-02-28,-35.183,173.926,Kerikeri,NA,1961-1990
1056,Minimum,Winter,2019,0,7.566666666666670,2019-06-01,2019-08-31,-35.183,173.926,Kerikeri,NA,1961-1990
1287,Average,Autumn,2019,0,17.3,2019-03-01,2019-05-31,-35.769,174.364,Whangarei,NA,1961-1990
1287,Average,Spring,2019,0,15.666666666666700,2019-09-01,2019-11-30,-35.769,174.364,Whangarei,1.011111111111110,1961-1990
1287,Average,Summer,2019,0,20.666666666666700,2018-12-01,2019-02-28,-35.769,174.364,Whangarei,NA,1961-1990
1287,Average,Winter,2019,0,12.633333333333300,2019-06-01,2019-08-31,-35.769,174.364,Whangarei,NA,1961-1990
1287,Maximum,Autumn,2019,0,21.733333333333300,2019-03-01,2019-05-31,-35.769,174.364,Whangarei,NA,1961-1990
1287,Maximum,Spring,2019,0,20,2019-09-01,2019-11-30,-35.769,174.364,Whangarei,0.8458333333333310,1961-1990
1287,Maximum,Summer,2019,0,24.966666666666700,2018-12-01,2019-02-28,-35.769,174.364,Whangarei,NA,1961-1990
1287,Maximum,Winter,2019,0,16.433333333333300,2019-06-01,2019-08-31,-35.769,174.364,Whangarei,NA,1961-1990
1287,Minimum,Autumn,2019,0,12.866666666666700,2019-03-01,2019-05-31,-35.769,174.364,Whangarei,NA,1961-1990
1287,Minimum,Spring,2019,0,11.300000000000000,2019-09-01,2019-11-30,-35.769,174.364,Whangarei,1.1291666666666600,1961-1990
