"","X.1","longitude","latitude","formatted","X","origintime","magnitude","depth","magnitudetype","Region"
"1",1,166.224472,-46.06122589,"Southland, New Zealand",15471,"2015-11-14T14:31:40.907Z",4.108107559,5,"M","Southern"
"2",2,166.2567139,-46.03100204,"Southland, New Zealand",15475,"2015-11-14T13:52:17.512Z",3.935130933,9.524163246,"M","Southern"
"3",3,166.2817841,-46.10378265,"Southland, New Zealand",58959,"2018-01-16T04:15:51.888Z",3.630708677,17.930233,"M","Southern"
"4",4,166.343338,-46.21564102,"Southland, New Zealand",9652,"2016-02-28T20:14:54.421Z",3.554878445,12,"M","Southern"
"5",5,166.3557281,-46.14537811,"Southland, New Zealand",71374,"2017-06-25T09:58:30.078Z",3.52721113,21.01975441,"M","Southern"
"6",6,166.5857239,-45.74363327,"Southland District, New Zealand",104064,"2018-11-30T04:17:19.839Z",5.147880152,5,"M","Southern"
"7",7,166.6039886,-45.19223404,"Southland, New Zealand",116205,"2020-03-27T05:56:54.231Z",4.332760644,5,"M","Southern"
"8",8,166.6098785,-45.57436752,"Southland, New Zealand",9948,"2016-02-24T04:54:01.834Z",4.034356731,5,"M","Southern"
"9",9,166.638031,-45.46749115,"Southland, New Zealand",74487,"2017-05-23T23:41:43.191Z",3.66483716,3.026370525,"M","Southern"
"10",10,166.6486816,-45.45708084,"Southland, New Zealand",76204,"2017-04-27T08:56:59.548Z",3.579493793,5,"M","Southern"
"11",11,166.6546326,-45.12273788,"Southland, New Zealand",61151,"2017-12-12T02:05:17.976Z",4.538894527,5,"M","Southern"
"12",12,166.6723022,-45.47138977,"Southland, New Zealand",44376,"2018-10-17T00:00:08.218Z",4.221196696,5,"M","Southern"
"13",13,166.6925964,-45.42064667,"Southland, New Zealand",134662,"2021-03-25T14:17:44.560Z",4.021296667,8.416149139,"M","Southern"
"14",14,166.6925964,-45.42064667,"Southland, New Zealand",155701,"2021-03-25T14:17:44.560Z",4.021296667,8.416149139,"M","Southern"
"15",15,166.6961365,-45.19150925,"Southland, New Zealand",123503,"2019-11-07T18:59:30.950Z",3.552392602,12,"M","Southern"
"16",16,166.6979065,-45.49438477,"Southland, New Zealand",74696,"2017-05-20T17:27:55.583Z",3.715260026,6.635538101,"M","Southern"
"17",17,166.7121277,-45.28156281,"Southland, New Zealand",52199,"2018-05-16T18:59:03.373Z",3.55071224,5,"M","Southern"
"18",18,166.7130432,-45.42544174,"Southland, New Zealand",156988,"2021-03-14T09:21:32.650Z",3.746484346,5,"M","Southern"
"19",19,166.7130432,-45.42544174,"Southland, New Zealand",135949,"2021-03-14T09:21:32.650Z",3.746484346,5,"M","Southern"
"20",20,166.7210083,-45.39071274,"Southland, New Zealand",131013,"2021-05-18T21:06:15.753Z",3.615526502,12,"MLv","Southern"
"21",21,166.7210083,-45.39071274,"Southland, New Zealand",152052,"2021-05-18T21:06:15.753Z",3.615526502,12,"MLv","Southern"
"22",22,166.7232056,-46.33677673,"Southland, New Zealand",126055,"2021-08-22T22:46:25.492Z",4.092018988,89.39172363,"MLv","Southern"
"23",23,166.7232056,-46.33677673,"Southland, New Zealand",147094,"2021-08-22T22:46:25.492Z",4.092018988,89.39172363,"MLv","Southern"
"24",24,166.7296906,-45.09223175,"Southland, New Zealand",16466,"2015-10-28T13:33:41.740Z",4.528877469,3.845366001,"M","Southern"
"25",25,166.7300262,-45.35861206,"Southland, New Zealand",157361,"2021-03-12T04:26:16.381Z",5.034130071,11.61430073,"M","Southern"
"26",26,166.7300262,-45.35861206,"Southland, New Zealand",136322,"2021-03-12T04:26:16.381Z",5.034130071,11.61430073,"M","Southern"
"27",27,166.7460175,-45.20836258,"Southland, New Zealand",102991,"2018-12-20T14:23:31.697Z",4.395487955,12,"M","Southern"
"28",28,166.7566681,-45.37728119,"Southland, New Zealand",124216,"2019-10-23T08:31:56.860Z",3.727513581,12,"M","Southern"
"29",29,166.7569885,-45.52425003,"Fiordland Community, Southland District, New Zealand",74682,"2017-05-21T00:01:56.491Z",3.755618566,5,"M","Southern"
"30",30,166.7773438,-45.28517914,"Southland, New Zealand",18069,"2015-09-27T12:15:50.076Z",4.12605894,5.826002598,"M","Southern"
"31",31,166.7803192,-45.26531219,"Southland, New Zealand",151458,"2021-05-31T04:09:00.384Z",5.514803039,12,"M","Southern"
"32",32,166.7803192,-45.26531219,"Southland, New Zealand",130419,"2021-05-31T04:09:00.384Z",5.514803039,12,"M","Southern"
"33",33,166.809845,-45.25255966,"Southland, New Zealand",75646,"2017-05-06T15:03:35.674Z",4.48253939,10.77931499,"M","Southern"
"34",34,166.8204047,-45.53805155,"Fiordland Community, Southland District, New Zealand",3929,"2016-06-06T23:00:47.142Z",4.164887343,15.3125,"M","Southern"
"35",35,166.8397522,-45.17881775,"Southland, New Zealand",66614,"2017-09-11T08:56:31.059Z",3.864957566,25.7120266,"M","Southern"
"36",36,166.8423462,-45.10600281,"Southland, New Zealand",3919,"2016-06-07T02:55:22.569Z",5.75868198,17.04810905,"M","Southern"
"37",37,166.847702,-45.26743317,"Southland, New Zealand",17971,"2015-09-29T07:10:47.139Z",3.748998806,4.935275078,"M","Southern"
"38",38,166.8538513,-45.0683136,"Southland, New Zealand",4492,"2016-05-28T11:16:02.157Z",4.075091267,10.29534626,"M","Southern"
"39",39,166.8707669,-45.5461407,"Te Puaitaha / Breaksea Sound, Fiordland Community, Southland District, New Zealand",20091,"2015-08-18T07:22:47.750Z",3.817141625,15.3125,"M","Southern"
"40",40,166.8807068,-45.00063705,"Southland, New Zealand",102255,"2019-01-03T05:07:13.466Z",4.354081359,12,"M","Southern"
"41",41,166.8849945,-45.98319626,"Tuatapere Te Waewae Community 9620, New Zealand",162935,"2020-12-29T17:33:32.550Z",4.58698011,69.1490097,"M","Southern"
"42",42,166.8849945,-45.98319626,"Tuatapere Te Waewae Community 9620, New Zealand",141896,"2020-12-29T17:33:32.550Z",4.58698011,69.1490097,"M","Southern"
"43",43,166.8884277,-45.36685562,"Fiordland Community, Southland District, New Zealand",118813,"2020-02-08T09:13:53.935Z",4.049239527,12,"M","Southern"
"44",44,166.8893127,-46.21311951,"Tuatapere Te Waewae Community 9620, New Zealand",108700,"2020-07-31T00:59:20.980Z",3.562714005,96.4539032,"M","Southern"
"45",45,166.9085083,-45.01375198,"Southland, New Zealand",153501,"2021-04-24T07:05:12.606Z",4.332987593,5,"M","Southern"
"46",46,166.9085083,-45.01375198,"Southland, New Zealand",132462,"2021-04-24T07:05:12.606Z",4.332987593,5,"M","Southern"
"47",47,166.9096832,-45.14163971,"Southland, New Zealand",140651,"2021-01-21T13:51:19.807Z",4.983855631,21.08911896,"M","Southern"
"48",48,166.9096832,-45.14163971,"Southland, New Zealand",161690,"2021-01-21T13:51:19.807Z",4.983855631,21.08911896,"M","Southern"
